frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
6,2.0,[246.6851899488758 462.20346549910533 476.9705705636139 670.378965428331],[316.9866027832031 602.8994140625 399.2063293457031 628.89599609375],0.5226472616195679,MX13MFU,0.23732911702748355
7,2.0,[245.88663766089792 462.45589178459034 476.38820536061246 670.7953162410239],[316.9458923339844 602.904052734375 399.2457580566406 628.89697265625],0.5253827571868896,MX13MFU,0.23732911702748355
33,5.0,[731.8580880344495 407.52889554437974 943.8716328289987 612.800034205893],[810.5462646484375 553.7122802734375 870.2069091796875 574.9649658203125],0.6112149357795715,HL51KSV,0.08477924446843127
98,5.0,[741.5551110288441 464.1132742490347 978.0744801158796 696.8393880526726],[825.7633666992188 630.2100830078125 893.4028930664062 653.8079833984375],0.6347704529762268,NU51YSU,0.2535861211625051
131,5.0,[750.12690644451 500.8126599958068 988.6881698139343 716.3505445155993],[838.59716796875 674.940673828125 909.025146484375 698.657470703125],0.7043035626411438,KW51YSV,0.05713482398302168
141,6.0,[354.07570409147047 418.3824887434717 564.1578860204046 584.4303249198672],[434.7030029296875 530.5984497070312 486.0703125 550.6746215820312],0.3217605948448181,GY15OGJ,0.1880243610560213
156,6.0,[343.6826355397309 428.904456006637 563.8845615757131 600.4365158267133],[420.6573181152344 543.4281005859375 482.6383972167969 564.6982421875],0.4749278128147125,CI15UGJ,0.11578130872501138
157,6.0,[343.31923451628256 429.0306509238737 563.9034887489008 600.9834041894546],[420.6014709472656 543.4239501953125 482.6374206542969 564.7032470703125],0.4738941490650177,CI15UGJ,0.11578130872501138
378,7.0,[319.43780533037614 442.19951963458107 511.66563978619 609.9634136677705],[386.661865234375 550.6746826171875 448.3795166015625 572.277587890625],0.2877798080444336,KH05ZTK,0.45339749504635296
379,7.0,[318.7076830545975 442.9051165917755 511.9436259414972 610.4981658255443],[386.66864013671875 550.6831665039062 448.3836669921875 572.2827758789062],0.287626177072525,KH05ZTK,0.45339749504635296
383,7.0,[315.8095291823146 447.3997352499231 510.4950535452398 615.9870989004447],[380.19207763671875 554.3721313476562 447.43756103515625 575.2542114257812],0.5602023601531982,KH05ZIK,0.17716384240946315
428,7.0,[286.2267857634322 486.71021838007846 500.92728806582784 669.0964802189449],[351.0892333984375 601.691162109375 423.882080078125 624.824462890625],0.6384555101394653,KH05ZZK,0.12688973181935126
429,7.0,[284.7896130185005 487.8405940469819 499.5028989854434 670.6797220740751],[350.5474853515625 602.64404296875 423.38568115234375 625.821044921875],0.6121264696121216,KH05ZZK,0.6992273870452592
430,7.0,[284.10105549640184 489.23974744777206 499.4615791062488 672.5158096125824],[349.19989013671875 605.2468872070312 422.12579345703125 629.4721069335938],0.6281936168670654,KR05EZT,0.0784371938958755
441,7.0,[275.3782853006601 502.3123926136236 497.2215461086938 687.6607132909119],[346.4381103515625 619.422119140625 415.5968017578125 641.0086669921875],0.5850749015808105,KH05ZZK,0.10753656883231741
462,7.0,[255.2597485542974 523.4172798900377 483.8196328998988 715.4603389381848],[331.84234619140625 645.0939331054688 405.01287841796875 669.5023803710938],0.6799514889717102,RH05ZZK,0.181758629701027
477,7.0,[244.2241573444197 539.5544475252585 478.92738507141974 716.6201998764578],[320.21429443359375 666.453125 397.17059326171875 692.8038330078125],0.5890970230102539,KH05IZK,0.10573470684624306
479,7.0,[242.77707118518623 541.1569080207895 480.9915855914714 716.3646263448871],[319.5456848144531 670.3663330078125 397.5203552246094 695.6932373046875],0.6024043560028076,WH05IZR,0.26703613502697693
538,413.0,[777.3283780097738 396.42920762195206 971.4600142800095 564.7513123339517],[853.38525390625 484.4710693359375 900.8330078125 515.0283203125],0.2653486430644989,ET61NAG,0.16852550035179034
558,413.0,[780.8289924395937 409.25880511204485 979.1666537910893 582.603644072608],[849.5577392578125 514.7736206054688 912.1207275390625 535.0416870117188],0.4595770239830017,EX61NBD,0.429946352268053
559,413.0,[780.8447936986208 409.65615509469484 980.0188908130874 582.8378644884706],[849.5631713867188 514.7692260742188 912.1148071289062 535.0387573242188],0.4604714810848236,EX61NBD,0.429946352268053
561,413.0,[780.9569040912139 410.891414879261 981.9567758323291 584.4061488912052],[851.968017578125 517.57568359375 913.069580078125 536.51123046875],0.4140584468841553,EY61QBD,0.2027282465744525
563,413.0,[781.0602297181101 411.9816092365311 983.8295407061541 586.3448067257824],[853.3446044921875 522.9386596679688 913.7237548828125 540.5404663085938],0.31732994318008423,EY61NSS,0.06105779776110633
578,413.0,[781.0975020409923 420.40821705665917 987.6947186173794 600.7671266913488],[855.7321166992188 530.2774047851562 916.0896606445312 551.0215454101562],0.5421409606933594,EY61NBG,0.5974853780704197
580,413.0,[782.1488958350351 422.7849492890125 988.0678903974544 602.6199741969076],[858.7537841796875 531.1383056640625 916.8243408203125 552.5513916015625],0.6392185091972351,EX61NBG,0.20582410496013157
587,413.0,[783.6021365344565 426.47401841418883 991.230517150328 607.8840696450409],[858.9942016601562 542.716552734375 919.0302124023438 561.512451171875],0.4329758882522583,VE76NBD,0.04814204948236615
593,413.0,[784.4096617415003 430.41692895669746 996.0548578132184 615.0503256792207],[860.0095825195312 545.23681640625 921.8818969726562 567.57958984375],0.6065799593925476,EY61NGG,0.2303726613834979
604,413.0,[787.6194203133668 441.22564851043404 997.9554538253547 626.9165082690946],[861.7322998046875 558.6635131835938 925.2518310546875 580.4340209960938],0.4827719032764435,EY61MBG,0.09471522750230824
608,413.0,[787.9978811830773 442.001628561943 1001.47951629138 631.9468732349593],[863.4344482421875 560.03857421875 928.2449951171875 582.5255126953125],0.6177110075950623,LY61NDG,0.0790038249212245
611,413.0,[787.5090716385096 444.39360961142575 1000.1489588864774 637.3722877676857],[867.0005493164062 560.68212890625 926.8510131835938 587.447021484375],0.36193007230758667,EY61NBG,0.27486285042339276
612,413.0,[787.8330778683568 445.1527786255864 999.7673432408438 638.9203777735923],[867.4111328125 561.08349609375 927.258056640625 589.005859375],0.3473973274230957,EY51NBG,0.4461429049548406
613,413.0,[788.1166801864732 445.24137445085034 999.5843213961597 639.7186476363086],[867.5682373046875 561.2340087890625 927.3524169921875 589.0364990234375],0.3501359224319458,EY51NBG,0.39638636501887864
627,413.0,[791.4437355187615 460.740699860943 1012.0783601108103 657.2964612467591],[870.496337890625 587.0654907226562 932.706298828125 605.4977416992188],0.40460240840911865,EX61HBC,0.2729173652743604
644,413.0,[794.9032745642753 475.61472855765567 1023.4535364000474 678.7596756094289],[875.5179443359375 603.5516357421875 944.2073974609375 624.8043212890625],0.6035349369049072,EY61NDG,0.2928367926863496
646,413.0,[796.4670007508125 476.86677674123445 1025.4251379412049 681.2001762931649],[874.8043212890625 606.81689453125 945.319091796875 628.688232421875],0.5537393093109131,EY61NBG,0.2817377249808858
652,413.0,[796.8549537499066 484.03104553025014 1024.5768252802663 690.621327365021],[877.6046142578125 600.4658203125 946.018798828125 634.6685791015625],0.36219075322151184,EY61NBC,0.4783123509085997
656,413.0,[797.0785362540234 487.9168259054222 1026.9025689145888 696.1832861191931],[878.9981689453125 616.6145629882812 949.5745849609375 639.5021362304688],0.6500706076622009,EX61MBG,0.12435618487202978
657,413.0,[797.7621657602699 489.49966410810566 1027.5454475985784 697.3465911604205],[878.400634765625 618.25927734375 950.174072265625 641.42724609375],0.6523730754852295,EY61NBG,0.29280592902756797
660,413.0,[799.7651816097678 493.0357333494025 1031.6653481091805 700.6241956680431],[882.0296630859375 623.3947143554688 949.9007568359375 645.6702270507812],0.651024341583252,EY61MBC,0.3790730208515776
661,413.0,[800.0533662476173 493.5858725588903 1032.5774556151457 701.0201685723757],[882.02978515625 623.4091186523438 949.8826904296875 645.7195434570312],0.655080258846283,EY61NBC,0.4339208447630879
677,413.0,[802.9923574978203 509.2205551477467 1042.3662580834705 716.2137953578136],[888.6726684570312 645.795654296875 959.1127319335938 668.078369140625],0.6639603972434998,EY61NBG,0.5237102997581591
680,413.0,[805.4738999683462 511.0397125554122 1048.0460458999903 715.5105084982772],[890.4527587890625 648.9365844726562 960.3944091796875 671.1296997070312],0.6299049258232117,EY61NBG,0.5841475165036296
681,413.0,[805.0934125689138 511.7503271125727 1046.9624805078795 714.9896166461872],[895.6866455078125 655.180419921875 958.1153564453125 671.03515625],0.41950953006744385,EY61MBG,0.46942970528440014
682,413.0,[805.8658889261743 513.441199442033 1048.0614964885403 714.9782183484512],[890.2998046875 654.06201171875 962.2281494140625 675.263671875],0.45562779903411865,EY61NBG,0.35979510218563016
683,413.0,[806.9078150925469 515.3961056001981 1050.1479492384728 715.0946732946263],[891.82373046875 655.0643920898438 962.505859375 677.1257934570312],0.5508965253829956,EY51NBG,0.4730406310080035
689,413.0,[807.7653139958679 523.5485760617241 1053.1516661698795 715.2292688853026],[892.5323486328125 662.325439453125 964.3359375 683.78759765625],0.6321451663970947,ET61NBG,0.5879906588950548
692,413.0,[809.9555327820806 525.4470810987548 1056.716200447508 715.0422432464616],[898.4874267578125 657.9138793945312 963.0130615234375 690.1205444335938],0.2878015637397766,EY61NBD,0.13811209108589287
699,413.0,[812.7419476898941 535.3508190692528 1063.290550002967 715.4497083651356],[897.76025390625 676.2685546875 973.68212890625 699.13330078125],0.7013962864875793,EY61NBG,0.18909963225411103
700,413.0,[812.3775292477836 536.5086809550312 1063.7385793678218 715.341334565232],[900.2318115234375 682.8758544921875 970.672607421875 699.1068115234375],0.4110034704208374,EY51NBG,0.5827817897166935
701,413.0,[812.1975694284613 537.6062269767062 1064.3046160460372 715.2935369167553],[896.8212280273438 679.396484375 974.6731567382812 703.121826171875],0.6997933983802795,ET61NEG,0.24578186831613943
705,413.0,[814.0134143364068 540.5496089096667 1069.903149242191 714.4433141022774],[900.0972900390625 686.3968505859375 972.7830810546875 708.980712890625],0.5317215919494629,EY61RBC,0.24922987879180844
813,607.0,[751.8740754102864 303.0540876397727 1001.1381935809302 595.6399898951877],[859.6082763671875 534.6326293945312 918.1663818359375 557.1954956054688],0.6276142597198486,BC65USJ,0.33539785950781564
834,665.0,[765.1159214715002 314.6102767510811 1007.051923225507 627.6830189347043],[861.7734375 561.1719970703125 924.1123046875 578.623291015625],0.3943367898464203,BG55UDJ,0.24791036403235384
835,665.0,[767.1092185014695 313.98187447264763 1008.1799700343017 627.5900924169531],[861.765625 561.16455078125 924.10595703125 578.65185546875],0.39373382925987244,BG55UDJ,0.24791036403235384
874,449.0,[315.0116171489098 439.91377761105 492.25485628047176 567.7470166883919],[370.95025634765625 530.727294921875 430.34454345703125 551.4482421875],0.5773618817329407,WA51RCJ,0.014265672793732104
876,690.0,[765.6312888182028 338.1392382923342 1038.49853213925 676.3312765931363],[861.9339599609375 601.7337646484375 931.6129150390625 624.7423095703125],0.6400931477546692,BG65VSJ,0.0911566372963134
877,690.0,[764.7118610116455 338.17960230552137 1039.1182898333318 677.7610946577298],[861.9586181640625 601.744384765625 931.5965576171875 624.7529296875],0.6384082436561584,BG65VSJ,0.0911566372963134
879,701.0,[763.9609467047248 339.4067995200704 1042.402267978763 683.309989175172],[865.0478515625 606.6858520507812 930.919921875 628.6934204101562],0.5814593434333801,OG65USJ,0.16480371517470452
888,449.0,[308.56157635243494 448.31745958973045 489.43294268910483 580.2326848368947],[363.9655456542969 542.2392578125 424.8672180175781 563.39892578125],0.396826833486557,NA51KDJ,0.06067537321086127
889,449.0,[308.42841552812183 448.705913430208 489.2630161405847 580.2514498872841],[363.935302734375 542.2077026367188 424.83837890625 563.4093627929688],0.393739253282547,NA51KDJ,0.06067537321086127
892,701.0,[770.0373180351951 347.9452448267366 1033.8388810412418 706.7121074957952],[861.9334716796875 622.9390869140625 933.384765625 645.8021240234375],0.6935214400291443,DC65USJ,0.39157242701819966
904,449.0,[299.9221528129454 458.1046331526853 485.36039109849895 593.5340588709633],[358.0532531738281 558.550537109375 419.8597106933594 574.6136474609375],0.252979040145874,MI51TGJ,0.10613479296480612
907,126.0,[381.89014648621674 350.3167863503259 562.3625935804066 517.519125296563],[441.792236328125 455.1139221191406 499.48095703125 476.8864440917969],0.7192553877830505,AX64CNY,0.030850421269106667
914,690.0,[757.4921736861301 366.901160342535 1045.0433053738934 717.9711151306353],[860.8886108398438 655.94384765625 931.6591186523438 671.075927734375],0.46441954374313354,AG65USJ,0.1283544054126332
924,449.0,[296.30029176605865 472.5268815181032 483.6403390720433 611.5628623350906],[355.46044921875 571.833251953125 418.3212890625 593.505126953125],0.5708459615707397,HL51KCJ,0.12270996964542838
925,449.0,[296.212008872377 472.75931311405947 483.6343503081335 611.9208922353698],[355.55767822265625 571.93017578125 418.333251953125 593.530029296875],0.5679961442947388,HL51KCJ,0.12270996964542838
938,449.0,[292.6850195769208 481.1812546632785 480.4207224906726 621.1105147800017],[352.03228759765625 588.6404418945312 416.68133544921875 603.1576538085938],0.3814641237258911,NI51KGJ,0.4223230708395723
951,449.0,[286.4071007173118 492.1904912239153 479.323022330277 634.0624229928713],[347.5263366699219 594.82763671875 413.7348327636719 616.4698486328125],0.6075045466423035,HI51RGJ,0.17049212646365117
977,449.0,[277.4296361550818 513.6449608493472 475.3976228541342 661.5256686013674],[342.58489990234375 620.934326171875 406.48028564453125 644.49267578125],0.5884554386138916,NA54KCJ,0.18533201063682395
998,449.0,[268.4037817069193 526.7448618741179 474.03423297917936 683.4380436446587],[332.17230224609375 646.7781982421875 400.41839599609375 669.8638916015625],0.27394360303878784,NA54KGJ,0.07166283926484916
1005,449.0,[265.47124213667365 535.9150816496725 472.38451120009546 694.2126521671277],[331.2372741699219 649.0678100585938 399.8513488769531 673.1444702148438],0.6150578260421753,NX51KLJ,0.15979364604535562
1010,449.0,[263.7342011018719 540.6893011516643 472.77714144442336 698.4087285515309],[328.89996337890625 658.5093994140625 398.30560302734375 685.3243408203125],0.4146648645401001,NA51NDJ,0.0897990828529847
1042,449.0,[252.47218229694786 570.5857761424896 469.25892697021266 717.1947662828323],[320.4183349609375 692.8871459960938 396.040283203125 716.8012084960938],0.49879857897758484,NI51KGJ,0.1995176369724945
1173,760.0,[779.2043621840942 474.285605249435 987.3881683407972 653.2002804467035],[849.6993408203125 592.537353515625 916.1556396484375 615.344970703125],0.7782452702522278,AF10DZC,0.13794751521505397
1257,493.0,[1085.3280872747036 418.122288030605 1280.7552550973896 593.1574512980417],[1166.523193359375 541.228271484375 1231.632080078125 562.572509765625],0.26516085863113403,OL62HIJ,0.1109642023469984
1433,462.0,[760.3694771270779 375.8026030315033 917.8722684782095 524.2242784714315],[812.5164794921875 476.0662841796875 867.6077880859375 495.08758544921875],0.5076113939285278,IU06EPD,0.24693299545800543
1438,462.0,[760.8966670397449 376.3376882347557 920.5745126377051 528.6027674628963],[814.8591918945312 478.373046875 866.6669311523438 496.6837158203125],0.3167056739330292,IJ06EPD,0.06587626161202512
1444,462.0,[762.1430437283602 382.05003741319007 922.651684588124 533.7917481564316],[816.0203247070312 480.112548828125 869.2958374023438 502.411865234375],0.5310527086257935,GJ05EPD,0.32655180241138426
1520,462.0,[767.0811629364223 425.34475436693816 945.782562952307 587.0601842682565],[826.7236938476562 528.6978759765625 888.0962524414062 551.4554443359375],0.5856310725212097,GJ06EPO,0.2688573587340034
1535,462.0,[766.1202630350452 431.22624869838216 950.535572323448 598.7937782601356],[831.2095947265625 542.8262939453125 893.3067626953125 566.4346923828125],0.5257824063301086,DJ06EPD,0.47785611467997746
1539,462.0,[766.6414872935711 431.3850797074375 951.6750369797226 600.6868335151349],[829.10009765625 544.1669921875 893.76318359375 567.65966796875],0.6579771041870117,DJ05EPD,0.776692426524223
1541,462.0,[766.0521553816415 434.12097834548183 952.1237149249306 603.2261451107655],[812.01611328125 545.52197265625 893.806884765625 575.1474609375],0.29303380846977234,GJ06EPE,0.4516267381732604
1550,462.0,[766.9591436262531 442.62826190628095 955.6144736203908 611.8814295145386],[835.2772216796875 557.3348388671875 894.1295166015625 575.0035400390625],0.446209192276001,GJ06EPD,0.42924020295135856
1601,462.0,[766.3352413751086 481.6827703999083 968.9756968054064 663.4952841046465],[838.5369873046875 601.2508544921875 902.932373046875 624.6453857421875],0.6536645293235779,OJ06EPD,0.4251360105597183
1612,462.0,[768.9387849182503 490.51214837779435 975.3820105710934 674.7432984866232],[840.2853393554688 610.088623046875 906.3482055664062 635.0286865234375],0.7106502652168274,DJ06EFD,0.24494551146509716
1626,462.0,[766.7450807441412 503.6420833834442 977.6995833602891 693.132017025372],[839.3548583984375 624.66015625 908.8472900390625 649.753662109375],0.696299135684967,GJ06EPD,0.5233401033574239
1627,462.0,[766.8131447165156 504.32999733244355 977.8591007694188 693.5207873440729],[839.3555908203125 624.661376953125 908.8369140625 649.7513427734375],0.6963351964950562,GJ06EPD,0.5233401033574239
1662,462.0,[771.8165064156199 538.4294947767589 986.7609584279874 716.3896643400221],[845.4039306640625 670.8883056640625 916.4970703125 694.8924560546875],0.6810848712921143,GJ06EPD,0.0896259186896056
1663,462.0,[771.8118768275648 539.107894091852 987.0934391835391 715.7831153899202],[845.402587890625 670.8836059570312 916.498779296875 694.8936157226562],0.6808132529258728,GJ06EPD,0.0896259186896056
1676,462.0,[770.3888043634813 552.5162766112219 990.974409918794 718.5856667058652],[847.2476196289062 687.3771362304688 921.5331420898438 712.1071166992188],0.6700403094291687,GJ06EPO,0.26239007040615236
1679,462.0,[769.9449078292283 555.3700932715086 991.0639745734078 718.3570793166651],[847.6390380859375 689.7764892578125 924.6829833984375 716.3316650390625],0.684625506401062,GJ05EPD,0.09455983673147275
2004,1251.0,[697.7062020326122 409.86221729171547 950.1913030267273 695.1430585871988],[784.0695190429688 623.7061767578125 855.0988159179688 647.3221435546875],0.7407299280166626,EY09NOS,0.04843063685796849
2005,1251.0,[698.2316786997551 410.2897261712211 950.8133629457698 695.7291230430388],[784.0707397460938 623.705810546875 855.0870971679688 647.3203125],0.7403869032859802,EY09NOS,0.04843063685796849
2219,1249.0,[703.1578507574038 380.8840205037463 942.9593597203016 606.1598652460492],[791.132080078125 543.8361206054688 849.0732421875 565.6087036132812],0.27020248770713806,BP63LTH,0.48171080873906114
2230,1249.0,[703.67921078085 387.26901719378145 950.0325995367317 616.1653271285021],[794.943603515625 553.7467041015625 858.223876953125 575.318115234375],0.5145148038864136,BP63LYH,0.2248564828828467
2237,1249.0,[705.770301245033 393.9869579388019 954.5111824068541 624.1816001071248],[798.7822265625 560.9117431640625 860.1494140625 586.3350830078125],0.3703736662864685,BP53EYH,0.6246619168683408
2243,1249.0,[704.9231637828785 397.82640173343344 954.9972108999231 628.0510877224661],[797.55224609375 563.1573486328125 863.9879150390625 584.4754638671875],0.6187111139297485,BP63LYH,0.45066995786677405
2258,1249.0,[709.8964968340229 405.3199344987095 964.6581729975924 641.7912384160634],[799.243896484375 576.404296875 868.896240234375 599.6953125],0.6855450868606567,BP63LYH,0.499314722994333
2262,1249.0,[712.3769663213129 407.7785207068939 963.8046412331894 647.3133159134293],[804.1325073242188 587.5863647460938 866.8284301757812 602.5209350585938],0.3712693750858307,BP53LIH,0.5031153254045312
2263,1249.0,[712.4186143749457 407.8330788288224 963.7402859066278 647.9970394498046],[804.0059814453125 587.6329345703125 866.8494873046875 602.5286865234375],0.3728608191013336,DP53LIH,0.45122420997849577
2272,1249.0,[713.2881637562621 413.5242344172609 968.590142109296 656.0743892289811],[807.1539306640625 591.599365234375 875.58642578125 615.16357421875],0.6453467011451721,BP01LYH,0.20996367289967785
2282,1249.0,[717.2496301108542 422.2782825485364 972.9860280758144 665.3926696618894],[809.1923828125 601.261962890625 878.787109375 624.8427734375],0.7104485034942627,BP53LYH,0.3855494285727852
2284,1249.0,[717.2935003476252 425.2047916963986 974.9555182804427 668.5721627510445],[809.44921875 603.8678588867188 877.98388671875 626.4507446289062],0.6345327496528625,BP53LYM,0.09076393125847573
2285,1249.0,[717.8543709519612 426.3549998541124 976.4575348211996 670.010083336627],[811.969970703125 605.8037109375 877.530029296875 628.714111328125],0.6563398241996765,BP63LYH,0.10304684207803368
2292,1249.0,[718.0670810045157 432.2083749404986 977.7792693785267 682.0110788792142],[812.4249267578125 610.4561767578125 883.0316162109375 633.8062744140625],0.7340448498725891,BP63LYH,0.6757788919841303
2293,1249.0,[718.2127155114616 432.8053353472451 978.6644279309352 683.8568337201648],[812.399169921875 610.4267578125 883.030029296875 633.783203125],0.7335911989212036,BP63LYH,0.6757788919841303
2295,1249.0,[718.3743649201273 433.7949718117524 979.0044206196832 686.1401451036747],[813.215576171875 614.0650634765625 884.425537109375 638.0499267578125],0.7513196468353271,BP63LYH,0.18587214685984838
2300,1249.0,[717.4377066125238 436.272943151153 982.251056970866 688.2782413820102],[813.2838745117188 619.16455078125 885.9464721679688 642.13037109375],0.654682993888855,BP63LYH,0.6952795438491371
2301,1249.0,[716.837410383285 436.75276079456773 982.8424854460834 688.6223987040886],[816.5413818359375 621.1195678710938 884.8839111328125 644.7721557617188],0.6655464172363281,BP53LYH,0.8240155414188818
2307,1249.0,[715.3495058232756 440.7758806762734 984.6806332423789 692.7179432270577],[815.4920654296875 626.34423828125 888.4681396484375 648.615478515625],0.6967753767967224,BP63LYH,0.6427435245119154
2308,1249.0,[714.8763365533258 441.07071077169024 984.4802054286387 693.4494061662666],[816.1470947265625 627.613037109375 889.8477783203125 651.27392578125],0.7349641919136047,BP63LYM,0.22579081654738895
2310,1249.0,[714.9636815593352 442.292236066495 985.4863430013398 697.3938864551881],[816.4674682617188 631.3807373046875 890.0137329101562 655.2374267578125],0.7502995133399963,BP63LYX,0.515453622452451
2311,1249.0,[715.0392229838357 442.2399767490889 985.8781904514107 698.7337778843868],[816.4568481445312 631.3770751953125 890.0153198242188 655.2386474609375],0.7500045895576477,BP63LYX,0.515453622452451
2315,1249.0,[716.7566152158186 445.2019318498966 986.3002059812886 709.0096080281813],[820.6180419921875 635.3921508789062 893.1468505859375 660.6176147460938],0.664093017578125,BP63LYR,0.424380364217494
2318,1249.0,[717.2351470637635 445.70455709971907 984.7929642562818 711.2636962625334],[823.5294799804688 639.1669921875 894.0537719726562 662.9638671875],0.6675733923912048,BP63LYH,0.3416775156933185
2321,1249.0,[717.046371571483 448.2136974269552 984.0245344388106 713.7120005634463],[820.3397216796875 640.4642333984375 894.0931396484375 665.4019775390625],0.7040413618087769,BP63LYH,0.5894492220211304
2325,1249.0,[718.657422953923 450.8043618133625 986.2184906380115 715.193090275548],[824.5433349609375 645.36669921875 896.39990234375 670.516845703125],0.7513822317123413,BP63LTH,0.19875866418148308
2327,1249.0,[719.5875811880474 453.4160922015872 986.8993251882237 716.1377458161385],[825.695068359375 650.363525390625 896.15185546875 673.666259765625],0.6844488978385925,BP63LYH,0.21343325028788512
2330,1249.0,[721.2991878968423 454.97004238622094 994.9809704180852 715.0640659153044],[825.610595703125 651.9041748046875 898.052978515625 676.4222412109375],0.6185624003410339,BP63LYH,0.44339286592520716
2331,1249.0,[720.9794206723326 455.13960251400295 995.7960315441343 714.3792838116417],[828.138427734375 653.8470458984375 900.152099609375 677.6556396484375],0.6517104506492615,BP63LYH,0.4833718388676854
2332,1249.0,[721.1865058698842 456.5268649868352 996.8252132524984 714.4025483990564],[827.8261108398438 654.9096069335938 900.5924682617188 678.1449584960938],0.6691616773605347,BP63LYH,0.43823916459815565
2342,1249.0,[721.5383329127243 464.46273583226275 1002.1655486355058 714.0384202195278],[829.076416015625 665.7601318359375 904.4588623046875 689.9703369140625],0.6572551727294922,BP53LYH,0.42944426448142087
2355,1249.0,[728.6158230865476 476.7401461617384 1018.9270091911594 714.5393547511077],[837.1658935546875 682.4925537109375 910.4383544921875 705.3916015625],0.6946691274642944,BP63LYX,0.2138236723511458
2356,1249.0,[729.3816446886257 478.1932429569185 1019.70261087253 714.6619831769169],[838.2684326171875 683.4229736328125 911.0308837890625 705.8839111328125],0.639994204044342,BP53LYH,0.7786812244741206
2358,1249.0,[728.5756731960338 481.26115649953556 1016.54842592372 715.5260876801921],[838.046630859375 688.3388061523438 918.603759765625 714.7288208007812],0.2658117115497589,BP53LYH,0.9690130013544697
2359,1249.0,[728.4373171278277 482.02201068093166 1015.3650615210589 715.1812880335584],[838.053955078125 688.3431396484375 918.5963134765625 714.7308349609375],0.266347736120224,BP53LYH,0.9690130013544697
2362,1249.0,[730.302474394574 485.94525981614163 1015.5043971638628 715.1251291144957],[840.91748046875 689.9015502929688 916.5009765625 712.6906127929688],0.6799339652061462,DP63LYH,0.14313355722033436
2512,1598.0,[701.740188219398 467.82642333171566 926.2048941631073 647.1697011964084],[792.193359375 592.6737670898438 856.1322021484375 617.1867065429688],0.4362201690673828,IG65ZFX,0.12533306376370323
2541,1598.0,[706.2814640497751 490.7326144979732 939.6681393942132 677.7546456868031],[795.007080078125 618.9472045898438 861.549560546875 641.2588500976562],0.6369988918304443,NG69ZFA,0.10848111022258948
2597,1598.0,[724.3543204360317 537.1596926402555 976.2179269486683 716.033315235807],[814.0015869140625 680.533935546875 885.0894775390625 703.3057861328125],0.7459474802017212,LE65ZFX,0.23558337905722898
